牛号,出生日期,父亲牛号,外祖父号,胎次,繁殖状态
2190,05/02/2016,,,3,已配未检
2192,12/18/2015,,,3,已配未检
2197,10/27/2015,,,4,已配未检
2204,02/09/2016,,,3,复检+
2206,11/09/2015,,,3,复检+
2214,07/10/2016,,,3,已配未检
2217,07/10/2016,,,3,复检+
2221,06/25/2016,,,3,产后未配
2223,06/20/2016,,,3,已配未检
2227,08/21/2016,,,2,复检+
2229,06/05/2016,,,3,已配未检
2230,08/22/2016,,,2,产后未配
2231,07/24/2016,,,3,已配未检
2233,08/09/2016,,,2,复检+
2236,07/17/2016,,,2,复检+
2238,07/29/2016,,,3,已配未检
2240,08/03/2016,,,3,已配未检
3006,03/24/2015,,,4,初检-
3014,03/31/2012,,,5,已配未检
3016,10/25/2015,,,4,已配未检
3021,11/11/2011,,,6,初检+
3033,02/13/2015,,,3,已配未检
3034,07/21/2015,,,4,已配未检
3037,08/11/2011,,,6,已配未检
3038,09/01/2015,,,4,已配未检
3043,08/31/2012,,,5,初检+
3049,03/24/2015,,,3,已配未检
3051,05/14/2015,,,4,复检+
3061,05/31/2015,,,3,复检+
3065,10/13/2015,,,3,复检+
3072,03/03/2015,,,4,已配未检
3073,06/21/2011,,,7,产后未配
3078,12/18/2011,,,5,已配未检
3087,10/10/2012,,,4,复检+
3098,09/23/2007,,,10,已配未检
3111,01/25/2012,,,7,初检+
3115,11/16/2011,,,5,复检+
3127,04/17/2008,,,7,复检+
3139,01/02/2012,,,6,复检+
3140,07/27/2012,,,7,产后未配
3142,03/16/2015,,,3,复检+
3146,11/01/2016,,,2,复检+
3151,01/22/2017,,,2,已配未检
3152,01/30/2017,,,2,复检+
3158,02/20/2017,,,2,已配未检
6027,10/15/2014,,,4,初检-
6035,10/15/2014,,,4,已配未检
6042,10/15/2014,,,4,已配未检
6045,10/15/2014,,,4,复检+
6053,09/15/2014,,,5,产后未配
6059,11/26/2014,,,4,复检+
6060,11/26/2014,,,4,复检+
6069,10/26/2014,,,5,已配未检
6079,09/26/2014,,,4,产后未配
6080,03/26/2014,,,5,初检+
6084,09/26/2014,,,4,复检-
6091,04/01/2015,,,4,初检-
6094,05/20/2015,,,4,初检+
6103,06/01/2015,,,4,已配未检
6108,06/01/2015,,,4,已配未检
6114,05/01/2015,,,4,已配未检
6116,01/11/2015,,,4,复检+
6315,05/13/2014,,,3,复检+
6320,03/13/2014,,,5,产后未配
6347,06/01/2014,,,4,复检+
6356,02/22/2015,,,4,初检-
6372,08/22/2014,,,4,复检+
6388,09/22/2014,,,4,已配未检
6398,11/22/2014,,,5,已配未检
6410,11/22/2014,,,4,复检+
6418,10/22/2014,,,4,初检+
6419,09/22/2014,,,4,初检-
6422,10/22/2014,,,3,发情未配
6423,09/22/2014,,,4,复检+
6433,08/21/2014,,,4,复检+
6437,09/21/2014,,,4,已配未检
6471,12/18/2014,,,4,已配未检
6474,12/20/2014,,,4,复检+
6498,10/15/2014,,,3,复检+
6500,12/25/2014,,,4,复检+
6506,06/09/2014,,,4,复检+
7010,09/15/2018,,,1,初检+
7036,09/21/2018,,,1,已配未检
7046,08/31/2018,,,1,初检+
7068,10/16/2018,,,1,已配未检
7069,09/15/2018,,,1,已配未检
7079,09/24/2018,,,1,已配未检
7094,09/30/2018,,,1,初检+
7111,12/16/2018,,,1,已配未检
7134,09/03/2018,,,1,已配未检
7138,09/06/2018,,,1,初检+
7140,09/11/2018,,,1,初检-
7143,09/20/2018,,,1,初检+
7144,09/22/2018,,,1,已配未检
7147,09/26/2018,,,1,已配未检
7151,10/02/2018,,,1,初检-
7154,10/06/2018,,,1,初检-
7287,09/24/2018,,,1,已配未检
7360,06/21/2018,,,1,已配未检
7415,09/02/2018,,,1,已配未检
7419,08/18/2018,,,1,已配未检
7424,10/02/2018,,,1,已配未检
7425,10/02/2018,,,1,已配未检
7426,09/02/2018,,,1,初检+
7427,08/18/2018,,,1,初检+
7435,08/08/2018,,,1,已配未检
7441,10/02/2018,,,1,初检+
7442,10/02/2018,,,1,初检+
7444,08/18/2018,,,1,已配未检
7446,09/17/2018,,,1,已配未检
7448,08/03/2018,,,1,已配未检
7450,08/03/2018,,,1,初检+
7459,08/18/2018,,,1,初检+
7461,10/07/2018,,,1,已配未检
7467,08/18/2018,,,1,已配未检
7470,12/01/2018,,,1,复检+
7472,09/17/2018,,,1,已配未检
7474,10/02/2018,,,1,复检+
7475,08/03/2018,,,1,已配未检
7476,07/04/2018,,,1,已配未检
7478,09/12/2018,,,1,初检+
7479,09/27/2018,,,1,已配未检
7480,09/27/2018,,,1,已配未检
7482,08/28/2018,,,1,产后未配
7487,12/12/2018,,,1,初检-
7492,08/28/2018,,,1,已配未检
7496,07/28/2018,,,1,已配未检
7497,08/28/2018,,,1,初检+
7506,08/28/2018,,,1,初检+
7507,08/28/2018,,,1,已配未检
7510,07/28/2018,,,1,已配未检
7517,10/28/2018,,,1,已配未检
7519,09/12/2018,,,1,复检+
7525,06/28/2018,,,1,已配未检
7527,09/12/2018,,,1,初检+
7528,08/28/2018,,,1,已配未检
7530,07/28/2018,,,1,初检+
7532,09/27/2018,,,1,产后未配
7533,08/28/2018,,,1,产后未配
7535,07/28/2018,,,1,已配未检
7544,08/28/2018,,,1,产后未配
7548,09/27/2018,,,1,产后未配
7549,09/12/2018,,,1,初检+
7550,08/28/2018,,,1,初检-
7551,09/12/2018,,,1,初检-
7554,09/12/2018,,,1,初检-
7556,08/28/2018,,,1,已配未检
7558,09/12/2018,,,1,已配未检
7560,09/27/2018,,,1,初检+
7563,09/27/2018,,,1,初检+
7564,09/12/2018,,,1,初检+
7568,08/20/2018,,,1,已配未检
7570,07/21/2018,,,1,复检+
7574,08/20/2018,,,1,产后未配
7580,07/21/2018,,,1,已配未检
7588,11/05/2018,,,1,复检+
7590,10/05/2018,,,1,初检+
7591,08/05/2018,,,1,已配未检
7598,09/05/2018,,,1,初检+
7599,08/05/2018,,,1,产后未配
7618,09/05/2018,,,1,产后未配
7624,08/05/2018,,,1,产后未配
7629,09/05/2018,,,1,已配未检
8011,08/30/2015,,,4,已配未检
8018,09/20/2015,,,4,已配未检
8021,10/29/2015,,,4,初检+
8023,09/02/2015,,,4,产后未配
150002,10/21/2015,,,4,初检-
150003,10/23/2015,,,3,初检-
150009,11/03/2015,,,3,复检+
150012,11/10/2015,,,4,产后未配
150014,11/13/2015,,,4,产后未配
150020,11/25/2015,,,3,已配未检
150027,12/11/2015,,,3,复检+
150028,12/11/2015,,,4,复检+
150030,12/15/2015,,,3,初检-
160003,01/01/2016,,,3,产后未配
160004,01/01/2016,,,4,产后未配
160022,01/27/2016,,,4,初检+
160025,02/05/2016,,,3,复检+
160028,02/19/2016,,,2,复检+
160034,03/01/2016,,,2,流产未配
160038,03/07/2016,,,3,产后未配
160040,03/10/2016,,,2,已配未检
160050,03/24/2016,,,3,初检+
160051,03/24/2016,,,3,已配未检
160052,03/26/2016,,,2,已配未检
160053,03/27/2016,,,3,复检+
160055,03/28/2016,,,3,初检-
160056,03/31/2016,,,3,初检+
160062,04/05/2016,,,2,复检+
160073,04/27/2016,,,3,已配未检
160074,04/29/2016,,,3,产后未配
160080,05/17/2016,,,3,复检+
160082,05/19/2016,1506761,,2,已配未检
160083,05/21/2016,,,3,初检-
160090,06/25/2016,029HO15384,,2,复检+
160092,07/12/2016,151HO00569,,2,复检+
160097,08/08/2016,,,2,初检-
160098,08/10/2016,151HO00569,,2,复检+
160099,08/15/2016,15503832,,2,初检-
160107,09/12/2016,151HO00569,,2,复检+
160110,09/20/2016,029HO15384,,2,初检-
160113,09/21/2016,529HO13402,,2,产后未配
160116,09/22/2016,529HO13402,,3,产后未配
160120,10/01/2016,529HO13402,,3,产后未配
160121,10/04/2016,529HO13402,,2,流产未配
160125,10/07/2016,029HO15384,,2,复检+
160129,10/10/2016,029HO15384,,3,产后未配
160130,10/11/2016,,,3,初检-
160131,10/12/2016,151HO00569,,2,已配未检
160132,10/12/2016,029HO15384,,2,复检+
160133,10/13/2016,029HO15384,,2,复检+
160134,10/13/2016,029HO15384,,3,已配未检
160137,10/15/2016,151HO00569,,2,复检+
160138,10/16/2016,151HO00569,,2,已配未检
160142,10/18/2016,529HO13402,,1,复检+
160154,10/27/2016,529HO14269,,3,已配未检
160163,11/06/2016,529HO14269,,2,初检+
160172,11/11/2016,529HO14269,,3,产后未配
160173,11/11/2016,529HO14269,,2,初检+
160175,11/11/2016,529HO14269,,2,已配未检
160180,11/15/2016,529HO14269,,3,已配未检
160182,11/19/2016,529HO14269,,3,已配未检
160185,11/20/2016,151HO00569,,2,初检-
160192,11/28/2016,151HO00569,,2,产后未配
160198,12/05/2016,529HO14269,,2,复检+
160199,12/07/2016,151HO00569,,3,已配未检
160201,12/09/2016,,,3,已配未检
160202,12/11/2016,AUSHO1657573,,2,复检+
160206,12/14/2016,AUSHO1657573,,2,已配未检
160211,12/16/2016,AUSHO1657573,,3,产后未配
160225,12/21/2016,AUSHO1657573,,3,已配未检
160227,12/22/2016,AUSHO1657573,,2,已配未检
160234,12/26/2016,AUSHO1657573,,2,产后未配
160237,12/26/2016,029HO15384,,3,产后未配
160243,12/29/2016,AUSHO1657573,,2,产后未配
160244,12/29/2016,AUSHO1657573,,2,产后未配
160246,12/31/2016,029HO15384,,2,产后未配
160934,03/12/2016,,,2,初检-
160942,04/20/2016,,,2,初检-
160953,05/19/2016,,,3,已配未检
160966,06/23/2016,,,3,已配未检
160969,07/11/2016,,,3,初检+
160970,07/20/2016,,,3,已配未检
160979,08/18/2016,,,2,复检+
160999,11/01/2016,,,3,已配未检
161003,11/25/2016,,,3,已配未检
161008,12/05/2016,,,2,已配未检
161011,12/06/2016,,,2,复检+
161018,12/30/2016,,,2,已配未检
161019,01/05/2017,,,2,复检+
170004,01/02/2017,AUSHO1657573,,1,流产未配
170008,01/03/2017,029HO15384,,2,复检+
170009,01/04/2017,AUSHO1657573,,2,复检+
170010,01/04/2017,AUSHO1657573,,3,已配未检
170013,01/06/2017,AUSHO1657573,,2,复检+
170014,01/09/2017,AUSHO1657573,,3,已配未检
170017,01/09/2017,AUSHO1657573,,2,复检+
170034,01/23/2017,AUSHO1657573,,2,复检+
170036,01/25/2017,151HO00653,,2,复检+
170042,02/03/2017,151HO00653,,2,复检+
170054,02/16/2017,AUSHO1657573,,3,产后未配
170058,02/22/2017,AUSHO1682910,,2,初检-
170067,03/14/2017,AUSHO1682910,,2,复检+
170068,03/15/2017,AUSHO1682910,,1,复检+
170073,03/21/2017,151HO00653,,2,复检+
170081,03/30/2017,AUSHO1682910,,2,复检+
170083,03/31/2017,151HO00653,,2,复检+
170092,04/11/2017,151HO00653,,2,复检+
170094,04/12/2017,151HO00653,,2,复检+
170095,04/15/2017,AUSHO1682910,,2,复检+
170096,04/16/2017,AUSHO1682910,1184,2,复检+
170097,04/16/2017,151HO00653,,2,复检+
170101,04/19/2017,AUSHO1682910,,2,复检+
170102,04/22/2017,AUSHO1682910,,2,初检-
170103,04/23/2017,AUSHO1682910,,2,已配未检
170104,04/24/2017,AUSHO1682910,,2,复检+
170105,04/24/2017,AUSHO1682910,,2,已配未检
170107,04/28/2017,151HO00653,,2,复检+
170110,05/04/2017,AUSHO1682910,,2,已配未检
170111,05/04/2017,151HO00653,,2,初检+
170112,05/08/2017,151HO00653,1028,2,复检+
170122,05/29/2017,151HO00653,,1,复检+
170126,06/03/2017,151HO00653,,2,复检+
170130,06/05/2017,151HO00653,,2,复检+
170131,06/08/2017,151HO00653,,2,初检+
170134,06/12/2017,151HO00653,,2,已配未检
170139,06/29/2017,AUSHO1682910,1098,2,复检+
170141,07/06/2017,AUSHO1682910,,2,产后未配
170142,07/09/2017,151HO00653,,2,初检+
170151,07/27/2017,151HO00684,,2,已配未检
170152,07/28/2017,151HO00644,,2,产后未配
170158,08/14/2017,151HO03060,,2,初检-
170160,08/16/2017,AUSHO1682910,,2,产后未配
170161,08/16/2017,151HO00684,,2,初检-
170164,08/21/2017,,,2,初检-
170166,08/23/2017,151HO00684,,2,产后未配
170173,09/03/2017,151HO03060,,2,已配未检
170175,09/09/2017,151HO03060,,2,已配未检
170177,09/12/2017,151HO03060,,2,复检+
170181,09/17/2017,151HO03060,,2,初检+
170182,09/18/2017,151HO03060,,2,已配未检
170185,09/23/2017,151HO03060,,2,已配未检
170187,09/26/2017,AUSHO1682910,,2,产后未配
170188,09/26/2017,151HO03060,,2,已配未检
170190,09/29/2017,151HO03060,,2,产后未配
170193,09/30/2017,AUSHO1682910,,2,产后未配
170194,10/02/2017,151HO03060,,2,已配未检
170195,10/03/2017,151HO03060,,2,初检-
170201,10/16/2017,151HO03060,,2,初检+
170202,10/17/2017,151HO03060,,2,已配未检
170209,10/27/2017,151HO03060,,2,已配未检
170210,11/02/2017,151HO03060,,2,产后未配
170211,11/03/2017,151HO03060,,2,产后未配
170213,11/05/2017,AUSHO1682910,,1,复检+
170216,11/11/2017,151HO03060,,2,产后未配
170218,11/12/2017,AUSHO1682910,,2,产后未配
170219,11/14/2017,AUSHO1682910,,2,初检-
170221,11/15/2017,151HO03060,,2,已配未检
170223,11/15/2017,151HO03060,,2,已配未检
170224,11/15/2017,151HO03060,,2,产后未配
170225,11/16/2017,151HO03060,,1,复检+
170226,11/17/2017,151HO03060,,1,复检+
170228,11/20/2017,151HO01610,,2,已配未检
170230,11/22/2017,AUSHO1682910,,1,复检+
170233,11/24/2017,151HO03060,,1,复检+
170234,11/25/2017,AUSHO1682910,,2,已配未检
170241,12/03/2017,151HO03060,,1,复检+
170242,12/06/2017,151HO03060,,1,复检+
170245,12/06/2017,151HO03060,,2,产后未配
170246,12/08/2017,AUSHO1682910,,2,已配未检
170247,12/08/2017,151HO01610,,2,产后未配
170251,12/09/2017,151HO01610,,2,已配未检
170253,12/11/2017,151HO01610,,1,复检+
170255,12/13/2017,AUSHO1682910,,2,已配未检
170258,12/15/2017,151HO03060,,2,已配未检
170262,12/18/2017,151HO01610,,1,复检+
170263,12/18/2017,151HO01610,,1,复检+
170268,12/23/2017,151HO01610,,1,已配未检
170269,12/25/2017,151HO01610,,1,复检+
170271,12/26/2017,151HO01610,,1,复检+
170276,12/29/2017,151HO01610,,2,已配未检
171020,01/10/2017,,,2,已配未检
171024,01/19/2017,,,2,产后未配
171025,01/25/2017,,,1,复检+
171027,01/31/2017,,,2,初检-
171030,02/11/2017,,,2,已配未检
171031,02/12/2017,,,1,复检+
171033,02/15/2017,,,2,复检+
171045,02/27/2017,,,3,已配未检
171048,03/02/2017,,,2,产后未配
171051,03/07/2017,,,2,复检+
171052,03/09/2017,,,2,复检+
171058,03/26/2017,,,1,复检+
171061,04/03/2017,,,2,复检+
171064,04/06/2017,,,2,初检-
171069,04/28/2017,,,1,复检+
171074,05/19/2017,,,1,复检+
171078,06/09/2017,,,2,初检+
171083,06/25/2017,,,2,已配未检
171084,06/29/2017,,,2,初检-
171102,08/24/2017,,,2,已配未检
171104,09/01/2017,,,2,产后未配
171108,09/14/2017,,,1,复检+
171114,09/27/2017,,,2,产后未配
171123,12/19/2017,,,2,已配未检
180005,01/06/2018,151HO01610,1195,1,复检+
180006,01/07/2018,AUSHO1682910,,1,已配未检
180007,01/09/2018,151HO01610,,1,复检+
180008,01/10/2018,151HO01610,,2,已配未检
180009,01/12/2018,151HO01610,,1,复检+
180010,01/13/2018,151HO01610,,1,复检+
180011,01/13/2018,151HO01610,,1,复检+
180013,01/15/2018,AUSHO1682910,,1,复检+
180015,01/21/2018,151HO01610,,1,复检+
180016,01/21/2018,AUSHO1682910,,1,复检-
180021,01/26/2018,151HO01610,,2,产后未配
180022,01/28/2018,AUSHO1682910,,1,初检+
180025,02/01/2018,AUSHO1682910,,1,复检+
180028,02/07/2018,151HO01615,,1,流产未配
180029,02/11/2018,151HO01615,,1,复检+
180030,02/11/2018,151HO01615,,2,产后未配
180033,02/15/2018,151HO01615,,1,复检+
180034,02/17/2018,AUSHO1682910,,0,初检+
180035,02/17/2018,151HO01615,,1,复检+
180041,02/25/2018,151HO01615,,1,复检+
180043,02/28/2018,AUSHO1682910,,1,复检+
180046,03/02/2018,151HO01615,,1,复检+
180048,03/02/2018,151HO01615,1078,1,复检+
180049,03/03/2018,151HO01615,,1,复检+
180052,03/04/2018,151HO01615,,1,复检+
180053,03/04/2018,AUSHO1682910,,1,初检+
180056,03/08/2018,151HO00731,,1,已配未检
180057,03/09/2018,151HO01615,,1,复检+
180062,03/13/2018,151HO00731,,1,复检+
180063,03/17/2018,AUSHO1682910,,1,复检+
180065,03/21/2018,AUSHO1682910,,1,复检+
180066,03/21/2018,AUSHO1682910,,1,复检+
180068,03/24/2018,AUSHO1682910,,1,已配未检
180070,03/25/2018,AUSHO1682910,,1,流产未配
180072,03/30/2018,029HO15496,,1,复检+
180073,03/31/2018,,,1,复检+
180076,04/05/2018,029HO15496,,1,复检+
180079,04/14/2018,AUSHO1682910,,1,复检+
180081,04/18/2018,029HO15496,,1,初检-
180082,04/20/2018,029HO15496,,1,初检-
180086,04/23/2018,AUSHO1682910,,1,已配未检
180087,04/23/2018,029HO15496,,0,复检+
180094,04/29/2018,029HO15496,,1,初检+
180097,05/03/2018,029HO15496,,1,产后未配
180098,05/04/2018,AUSHO1682910,,1,复检+
180099,05/04/2018,029HO15496,,1,复检+
180107,05/22/2018,029HO15496,,1,复检+
180111,05/23/2018,029HO15496,,1,已配未检
180112,05/26/2018,15514212,,1,复检+
180119,06/11/2018,15514212,,1,初检+
180122,06/15/2018,15514212,,1,复检+
180124,06/16/2018,65204045,,1,复检+
180127,06/21/2018,15514212,,1,复检+
180131,06/22/2018,65204045,,1,产后未配
180133,06/23/2018,15514212,,1,复检+
180135,06/24/2018,15514212,,1,已配未检
180136,06/25/2018,15514212,,1,初检+
180140,07/01/2018,65204045,,1,初检-
180141,07/10/2018,15514212,,1,复检+
180142,07/12/2018,65204045,,0,复检+
180144,07/13/2018,65204045,,1,初检+
180146,07/15/2018,151HO00734,,1,初检-
180151,07/22/2018,65204045,,1,已配未检
180156,08/03/2018,65204045,15503832,1,初检-
180161,08/15/2018,65204045,,1,已配未检
180162,08/16/2018,,,1,产后未配
180166,08/21/2018,15514212,,1,初检+
180167,08/21/2018,15514212,029HO15384,1,复检+
180168,08/23/2018,65204045,,1,初检+
180169,08/24/2018,15514212,,1,初检+
180170,08/24/2018,15514212,,1,初检-
180175,08/28/2018,15514212,029HO15384,1,初检+
180177,08/30/2018,65204045,,1,产后未配
180178,08/30/2018,65204045,,1,初检+
180186,09/06/2018,65204045,,1,初检-
180187,09/06/2018,,,1,初检+
180191,09/08/2018,15514212,,1,已配未检
180192,09/08/2018,65204045,,1,初检+
180197,09/12/2018,15514212,,1,产后未配
180200,09/16/2018,65204045,,1,已配未检
180201,09/17/2018,65204045,,1,已配未检
181001,01/08/2018,,,2,产后未配
181002,01/28/2018,,,2,产后未配
181003,02/06/2018,,,1,复检+
181004,02/06/2018,,,1,复检+
181005,02/12/2018,,,1,复检+
181008,02/12/2018,,,1,复检+
181010,03/04/2018,,,2,产后未配
181011,03/07/2018,,,1,复检+
181012,03/09/2018,,,1,复检+
181013,03/14/2018,,,1,复检+
181016,03/20/2018,,,1,复检+
181021,05/05/2018,,,2,产后未配
181023,05/31/2018,,,1,复检+
181024,06/11/2018,,,1,已配未检
181028,07/10/2018,,,1,复检+
190079,04/04/2019,13205130,,0,复检+
190090,04/19/2019,13205130,,0,已配未检
190091,04/23/2019,13205130,,0,初检-
190092,04/23/2019,13205130,,0,初检+
190093,04/24/2019,13205130,,0,已配未检
190095,04/27/2019,291HO16049,029HO15384,0,复检+
190096,04/29/2019,13205130,,0,复检+
190097,04/30/2019,15180513,,0,已配未检
190098,05/01/2019,15180513,AUSHO1657573,0,复检+
190099,05/02/2019,291HO16049,AUSHO1682910,0,复检+
190100,05/03/2019,15180513,,0,初检+
190101,05/03/2019,15180513,,0,初检-
190105,05/08/2019,291HO16049,151HO00653,0,复检+
190106,05/08/2019,15180513,,0,已配未检
190107,05/09/2019,15180513,151HO00653,0,出生
190108,05/10/2019,15180513,,0,初检-
190109,05/11/2019,15180513,,0,复检+
190110,05/14/2019,15180513,,0,初检-
190111,05/14/2019,15180513,,0,已配未检
190113,05/21/2019,15180513,1187,0,复检+
190114,05/22/2019,15180513,,0,初检+
190115,05/22/2019,15180513,,0,复检+
190116,05/23/2019,15180513,,0,出生
190117,05/28/2019,291HO16049,151HO00644,0,出生
190119,05/29/2019,15180513,,0,已配未检
190120,06/02/2019,15180513,,0,复检+
190121,06/04/2019,15180513,,0,已配未检
190122,06/04/2019,15180513,,0,已配未检
190123,06/05/2019,15180513,,0,已配未检
190124,06/10/2019,15180513,,0,复检+
190125,06/16/2019,15180513,,0,已配未检
190126,06/16/2019,15180513,,0,复检+
190127,06/17/2019,15180513,529HO13402,0,已配未检
190128,06/18/2019,291HO16049,151HO03060,0,初检+
190129,06/18/2019,15180513,,0,复检+
190130,06/18/2019,15180513,,0,初检+
190132,06/21/2019,15180513,,0,出生
190133,06/22/2019,15180513,,0,初检-
190134,06/23/2019,15180513,,0,复检+
190135,06/24/2019,15180513,,0,初检+
190136,06/28/2019,15180513,151HO00569,0,复检+
190137,06/30/2019,15180513,,0,复检+
190138,07/02/2019,15180513,,0,初检-
190139,07/02/2019,15180513,,0,已配未检
190140,07/02/2019,291HO16049,151HO03060,0,已配未检
190141,07/04/2019,15180513,,0,初检-
190142,07/04/2019,15180513,,0,初检-
190143,07/06/2019,15180513,029HO15384,0,复检+
190144,07/07/2019,291HO16049,,0,出生
190146,07/07/2019,15180513,,0,出生
190147,07/08/2019,15180513,,0,已配未检
190148,07/08/2019,15180513,,0,出生
190149,07/09/2019,15180513,529HO13402,0,已配未检
190150,07/09/2019,15180513,,0,初检-
190151,07/09/2019,15180513,,0,已配未检
190152,07/09/2019,15180513,,0,初检-
190153,07/11/2019,15180513,,0,出生
190154,07/11/2019,15180513,,0,已配未检
190155,07/11/2019,15180513,,0,出生
190156,07/14/2019,15180513,,0,初检+
190157,07/14/2019,15180513,,0,初检-
190158,07/19/2019,15180513,,0,已配未检
190159,07/19/2019,291HO16049,,0,初检-
190160,07/19/2019,15180513,,0,已配未检
190161,07/23/2019,15180513,,0,出生
190162,07/24/2019,291HO16049,151HO03060,0,已配未检
190163,07/25/2019,15180513,,0,初检-
190164,07/25/2019,15180513,AUSHO1657573,0,出生
190165,07/27/2019,15180513,,0,已配未检
190166,07/29/2019,291HO16049,,0,初检+
190168,08/04/2019,15180513,,0,出生
190169,08/01/2019,11109875,,0,初检-
190170,08/01/2019,15180513,,0,已配未检
190171,08/01/2019,291HO16049,151HO00684,0,已配未检
190172,08/03/2019,291HO16049,,0,初检-
190173,08/03/2019,15180513,,0,初检+
190174,08/03/2019,291HO16049,,0,已配未检
190176,08/03/2019,291HO16049,151HO00653,0,已配未检
190178,08/05/2019,15180513,,0,已配未检
190179,08/06/2019,291HO16049,151HO03060,0,已配未检
190180,08/06/2019,15180513,,0,初检-
190181,08/06/2019,15180513,029HO15384,0,初检+
190182,08/06/2019,15180513,,0,已配未检
190184,08/08/2019,15180513,,0,已配未检
190185,08/09/2019,291HO16049,151HO03060,0,已配未检
190186,08/10/2019,291HO16049,,0,初检+
190187,08/10/2019,291HO16049,,0,初检-
190189,08/12/2019,291HO16049,151HO03060,0,已配未检
190190,08/12/2019,15180513,,0,已配未检
190191,08/12/2019,15180513,,0,初检-
190192,08/13/2019,291HO16049,,0,已配未检
190193,08/15/2019,15180513,151HO00569,0,出生
190194,08/16/2019,291HO16049,,0,初检+
190195,08/16/2019,15180513,,0,初检+
190196,08/16/2019,15180513,,0,出生
190197,08/16/2019,15180513,AUSHO1657573,0,出生
190198,08/16/2019,15180513,,0,出生
190199,08/17/2019,291HO16049,,0,已配未检
190201,08/18/2019,291HO16049,151HO03060,0,初检+
190202,08/18/2019,15180513,,0,出生
190203,08/18/2019,291HO16049,,0,初检-
190205,08/20/2019,15180513,,0,已配未检
190206,08/20/2019,291HO16049,151HO03060,0,出生
190207,08/20/2019,15180513,,0,已配未检
190208,08/22/2019,15180513,,0,出生
190209,08/23/2019,291HO16049,151HO03060,0,出生
190210,08/23/2019,15180513,1238,0,出生
190211,08/25/2019,15180513,029HO15384,0,已配未检
190213,08/26/2019,291HO16049,AUSHO1682910,0,出生
190214,08/26/2019,15180513,,0,已配未检
190216,08/29/2019,15180513,,0,出生
190217,08/30/2019,15180513,,0,出生
190218,08/31/2019,15180513,,0,出生
190219,09/01/2019,15180513,,0,出生
190220,09/03/2019,291HO16049,,0,已配未检
190222,09/04/2019,291HO16049,AUSHO1682910,0,已配未检
190223,09/05/2019,15180513,,0,出生
190224,09/05/2019,291HO16049,,0,出生
190225,09/08/2019,291HO16049,AUSHO1682910,0,出生
190226,09/09/2019,15180513,029HO15384,0,出生
190227,09/09/2019,291HO16049,151HO01610,0,出生
190228,09/09/2019,15180513,,0,出生
190229,09/09/2019,15180513,,0,出生
190230,09/11/2019,291HO16049,151HO03060,0,出生
190231,09/12/2019,291HO16049,151HO01610,0,出生
