,牛号,月龄,胎次,繁殖状态,泌乳天数,产后天数,空怀天数,配种次数,奶量1,奶量2,牛舍名称,出生日期,父亲牛号,外祖父号,繁殖代码_,怀孕日期,产犊日期,干奶日期,配种日期,流产日期,与配公牛,配种组,RC
42,2023,67,3,复检+,415,465,198,2,67,67,红达2号干奶围产,03/15/2015,1087,-1,-1,02/12/2020,07/29/2019,09/15/2020,02/12/2020,01/01/1970,15180513,0,5
43,2026,66,4,已配未检,65,65,-1,1,66,66,红达105高产,05/05/2015,1098,-1,-1,01/01/1970,09/01/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
44,2037,63,4,复检+,203,203,57,1,63,63,红达103高产,07/29/2015,1118,-1,-1,06/12/2020,04/16/2020,01/01/1970,06/12/2020,01/01/1970,029HO18790,0,5
45,2042,68,3,初检-,282,282,-1,4,68,68,红达105高产,02/10/2015,1142,-1,-1,01/01/1970,01/28/2020,01/01/1970,09/23/2020,07/30/2020,029HO18790,0,3
46,2051,68,4,产后未配,23,23,-1,0,68,68,红达102新产,02/24/2015,1173,-1,-1,01/01/1970,10/13/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
47,2055,68,4,初检-,102,102,-1,1,68,68,红达102新产,02/23/2015,1184,-1,-1,01/01/1970,07/26/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,3
48,2057,65,4,初检+,180,180,131,3,65,65,红达103高产,06/01/2015,1187,-1,-1,09/17/2020,05/09/2020,01/01/1970,09/17/2020,01/01/1970,029HO18790,0,5
49,2061,70,4,已配未检,223,223,-1,3,70,70,红达105高产,01/02/2015,1195,-1,-1,01/01/1970,03/27/2020,01/01/1970,10/05/2020,01/01/1970,11116697,0,4
50,2067,63,3,复检+,491,546,269,8,63,63,红达2号干奶围产,08/01/2015,1210,-1,-1,02/02/2020,05/09/2019,09/10/2020,02/02/2020,01/01/1970,15180513,0,5
51,2070,68,3,已配未检,263,263,-1,4,68,68,红达103高产,02/10/2015,1213,-1,-1,01/01/1970,02/16/2020,01/01/1970,10/11/2020,01/01/1970,11116697,0,4
52,2076,66,4,已配未检,120,120,-1,2,66,66,红达105高产,04/10/2015,1223,-1,-1,01/01/1970,07/08/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
53,2082,66,4,产后未配,3,3,-1,0,66,66,红达301产房,05/01/2015,1238,-1,-1,01/01/1970,11/02/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
54,2110,69,4,已配未检,393,393,-1,7,69,69,红达105高产,02/01/2015,1336,-1,-1,01/01/1970,10/09/2019,01/01/1970,10/12/2020,04/10/2020,11116697,0,4
55,2112,67,3,已配未检,329,329,-1,7,67,67,红达103高产,04/02/2015,1339,-1,-1,01/01/1970,12/12/2019,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
56,2119,55,3,初检-,112,112,-1,1,55,55,红达103高产,03/24/2016,-1,-1,-1,01/01/1970,07/16/2020,01/01/1970,09/15/2020,01/01/1970,029HO18790,0,3
57,2138,69,4,初检+,179,179,125,3,69,69,红达103高产,01/20/2015,-1,-1,-1,09/12/2020,05/10/2020,01/01/1970,09/12/2020,01/01/1970,029HO18790,0,5
58,2140,69,4,复检+,272,326,49,1,69,69,红达2号干奶围产,01/20/2015,-1,-1,-1,02/02/2020,12/15/2019,09/11/2020,02/02/2020,01/01/1970,15180513,0,5
59,2146,70,4,产后未配,5,5,-1,0,70,70,红达301产房,01/05/2015,-1,-1,-1,01/01/1970,10/31/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
60,2152,68,4,初检+,159,159,119,3,68,68,红达103高产,02/08/2015,-1,-1,-1,09/27/2020,05/30/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0,5
61,2156,68,4,产后未配,49,49,-1,0,68,68,红达103高产,02/08/2015,-1,-1,-1,01/01/1970,09/17/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
62,2158,69,4,初检+,214,214,147,3,69,69,红达103高产,01/24/2015,-1,-1,-1,08/30/2020,04/05/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0,5
63,2161,58,2,复检+,525,587,304,8,58,58,红达2号干奶围产,12/29/2015,-1,-1,-1,01/28/2020,03/29/2019,09/03/2020,01/28/2020,01/01/1970,15180513,0,5
64,2162,59,4,产后未配,6,6,-1,0,59,59,红达301产房,11/29/2015,-1,-1,-1,01/01/1970,10/30/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
65,2166,56,3,初检+,191,191,134,4,56,56,红达102新产,03/03/2016,-1,-1,-1,09/10/2020,04/28/2020,01/01/1970,09/10/2020,01/01/1970,029HO18790,0,5
66,2169,54,3,已配未检,59,59,-1,1,54,54,红达105高产,04/28/2016,-1,-1,-1,01/01/1970,09/07/2020,01/01/1970,10/22/2020,01/01/1970,31106121,0,4
67,2181,52,3,复检+,227,227,66,1,52,52,红达103高产,06/25/2016,-1,-1,-1,05/28/2020,03/23/2020,01/01/1970,05/28/2020,01/01/1970,029HO18790,0,5
68,2186,59,3,复检+,297,297,139,3,59,59,红达104低产,11/22/2015,-1,-1,-1,05/31/2020,01/13/2020,01/01/1970,05/31/2020,01/01/1970,029HO18790,0,5
69,2189,56,1,复检+,877,877,696,9,56,56,红达104低产,02/29/2016,-1,-1,-1,05/08/2020,06/12/2018,01/01/1970,05/08/2020,04/01/2020,029HO18790,0,5
70,2190,54,3,已配未检,68,68,-1,1,54,54,红达103高产,05/02/2016,-1,-1,-1,01/01/1970,08/29/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
71,2192,58,3,已配未检,243,243,-1,5,58,58,红达103高产,12/18/2015,-1,-1,-1,01/01/1970,03/07/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
72,2197,60,4,已配未检,73,73,-1,1,60,60,红达103高产,10/27/2015,-1,-1,-1,01/01/1970,08/24/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0,4
73,2204,56,3,复检+,312,374,91,2,56,56,红达2号干奶围产,02/09/2016,-1,-1,-1,01/28/2020,10/28/2019,09/03/2020,01/28/2020,01/01/1970,15180513,0,5
74,2206,59,3,复检+,271,271,155,3,59,59,红达104低产,11/09/2015,-1,-1,-1,07/12/2020,02/08/2020,01/01/1970,07/12/2020,01/01/1970,029HO18790,0,5
75,2214,51,3,已配未检,128,128,-1,2,51,51,红达103高产,07/10/2016,-1,-1,-1,01/01/1970,06/30/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
76,2217,51,3,复检+,208,208,62,1,51,51,红达104低产,07/10/2016,-1,-1,-1,06/12/2020,04/11/2020,01/01/1970,06/12/2020,01/01/1970,029HO18790,0,5
77,2221,52,3,产后未配,46,46,-1,0,52,52,红达103高产,06/25/2016,-1,-1,-1,01/01/1970,09/20/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
78,2223,52,3,已配未检,76,76,-1,1,52,52,红达105高产,06/20/2016,-1,-1,-1,01/01/1970,08/21/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0,4
79,2227,50,2,复检+,493,493,311,5,50,50,红达104低产,08/21/2016,-1,-1,-1,05/07/2020,07/01/2019,01/01/1970,05/07/2020,01/01/1970,029HO18790,0,5
80,2229,53,3,已配未检,93,93,-1,1,53,53,红达103高产,06/05/2016,-1,-1,-1,01/01/1970,08/04/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
81,2230,50,2,产后未配,7,7,-1,0,50,50,红达301产房,08/22/2016,-1,-1,-1,01/01/1970,10/29/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
82,2231,51,3,已配未检,80,80,-1,1,51,51,红达103高产,07/24/2016,-1,-1,-1,01/01/1970,08/17/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0,4
83,2233,50,2,复检+,291,339,72,2,50,50,红达2号干奶围产,08/09/2016,-1,-1,-1,02/12/2020,12/02/2019,09/17/2020,02/12/2020,01/01/1970,15180513,0,5
84,2236,51,2,复检+,396,411,228,3,51,51,红达201干奶牛,07/17/2016,-1,-1,-1,05/06/2020,09/21/2019,10/20/2020,05/06/2020,01/01/1970,11109875,0,5
85,2238,51,3,已配未检,170,170,-1,2,51,51,红达105高产,07/29/2016,-1,-1,-1,01/01/1970,05/19/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
86,2240,51,3,已配未检,212,212,-1,5,51,51,红达103高产,08/03/2016,-1,-1,-1,01/01/1970,04/07/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
87,3006,67,4,初检-,245,245,-1,4,67,67,红达103高产,03/24/2015,-1,-1,-1,01/01/1970,03/05/2020,01/01/1970,07/23/2020,01/01/1970,029HO18790,0,3
88,3014,103,5,已配未检,244,244,-1,3,103,103,红达103高产,03/31/2012,-1,-1,-1,01/01/1970,03/06/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
89,3016,60,4,已配未检,57,57,-1,1,60,60,红达103高产,10/25/2015,-1,-1,-1,01/01/1970,09/09/2020,01/01/1970,10/25/2020,01/01/1970,31106121,0,4
90,3021,107,6,初检+,243,243,175,3,107,107,红达103高产,11/11/2011,-1,-1,-1,08/30/2020,03/07/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0,5
91,3033,68,3,已配未检,342,342,-1,5,68,68,红达103高产,02/13/2015,-1,-1,-1,01/01/1970,11/29/2019,01/01/1970,10/08/2020,01/01/1970,11116697,0,4
92,3034,63,4,已配未检,129,129,-1,3,63,63,红达103高产,07/21/2015,-1,-1,-1,01/01/1970,06/29/2020,01/01/1970,10/02/2020,01/01/1970,11116697,0,4
93,3037,110,6,已配未检,87,87,-1,2,110,110,红达105高产,08/11/2011,-1,-1,-1,01/01/1970,08/10/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
94,3038,62,4,已配未检,54,54,-1,1,62,62,红达103高产,09/01/2015,-1,-1,-1,01/01/1970,09/12/2020,01/01/1970,11/02/2020,01/01/1970,31106121,0,4
95,3043,98,5,初检+,104,104,62,1,98,98,红达103高产,08/31/2012,-1,-1,-1,09/25/2020,07/24/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,5
96,3049,67,3,已配未检,72,72,-1,1,67,67,红达105高产,03/24/2015,-1,-1,-1,01/01/1970,08/25/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0,4
97,3051,65,4,复检+,163,163,46,1,65,65,红达103高产,05/14/2015,-1,-1,-1,07/11/2020,05/26/2020,01/01/1970,07/11/2020,01/01/1970,029HO18790,0,5
98,3061,65,3,复检+,357,357,174,3,65,65,红达103高产,05/31/2015,-1,-1,-1,05/06/2020,11/14/2019,01/01/1970,05/06/2020,01/01/1970,029HO18790,0,5
99,3065,60,3,复检+,244,244,48,1,60,60,红达103高产,10/13/2015,-1,-1,-1,04/24/2020,03/06/2020,01/01/1970,04/24/2020,01/01/1970,029HO18790,0,5
100,3072,68,4,已配未检,108,108,-1,1,68,68,红达105高产,03/03/2015,-1,-1,-1,01/01/1970,07/20/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
101,3073,112,7,产后未配,62,62,-1,0,112,112,红达105高产,06/21/2011,-1,-1,-1,01/01/1970,09/04/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
102,3078,106,5,已配未检,79,79,-1,2,106,106,红达103高产,12/18/2011,-1,-1,-1,01/01/1970,08/18/2020,01/01/1970,11/02/2020,01/01/1970,31106121,0,4
103,3087,96,4,复检+,247,247,88,2,96,96,红达105高产,10/10/2012,-1,-1,-1,05/30/2020,03/03/2020,01/01/1970,05/30/2020,01/01/1970,029HO18790,0,5
104,3098,157,10,已配未检,294,294,-1,6,157,157,红达103高产,09/23/2007,-1,-1,-1,01/01/1970,01/16/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
105,3111,105,7,初检+,194,194,128,4,105,105,红达105高产,01/25/2012,-1,-1,-1,08/31/2020,04/25/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0,5
106,3115,107,5,复检+,272,272,103,1,107,107,红达104低产,11/16/2011,-1,-1,-1,05/20/2020,02/07/2020,01/01/1970,05/20/2020,01/01/1970,029HO18790,0,5
107,3127,150,7,复检+,183,183,64,2,150,150,红达104低产,04/17/2008,-1,-1,-1,07/10/2020,05/06/2020,01/01/1970,07/10/2020,01/01/1970,029HO18790,0,5
108,3139,106,6,复检+,327,327,214,3,106,106,红达103高产,01/02/2012,-1,-1,-1,07/15/2020,12/14/2019,01/01/1970,07/15/2020,01/01/1970,029HO18790,0,5
109,3140,99,7,产后未配,26,26,-1,0,99,99,红达102新产,07/27/2012,-1,-1,-1,01/01/1970,10/10/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
110,3142,67,3,复检+,239,239,49,1,67,67,红达102新产,03/16/2015,-1,-1,-1,04/30/2020,03/11/2020,01/01/1970,04/30/2020,01/01/1970,029HO18790,0,5
111,3146,48,2,复检+,284,284,101,2,48,48,红达105高产,11/01/2016,-1,-1,-1,05/06/2020,01/26/2020,01/01/1970,05/06/2020,01/01/1970,029HO18790,0,5
112,3151,45,2,已配未检,274,274,-1,2,45,45,红达103高产,01/22/2017,-1,-1,-1,01/01/1970,02/05/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0,4
113,3152,45,2,复检+,262,277,44,1,45,45,红达201干奶牛,01/30/2017,-1,-1,-1,03/17/2020,02/02/2020,10/20/2020,03/17/2020,01/01/1970,11116697,0,5
114,3158,44,2,已配未检,242,242,-1,6,44,44,红达103高产,02/20/2017,-1,-1,-1,01/01/1970,03/08/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
115,6027,72,4,初检-,171,171,-1,1,72,72,红达105高产,10/15/2014,-1,-1,-1,01/01/1970,05/18/2020,01/01/1970,07/01/2020,01/01/1970,029HO18790,0,3
116,6035,72,4,已配未检,249,249,-1,5,72,72,红达103高产,10/15/2014,-1,-1,-1,01/01/1970,03/01/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
117,6042,72,4,已配未检,76,76,-1,1,72,72,红达105高产,10/15/2014,-1,-1,-1,01/01/1970,08/21/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0,4
118,6045,72,4,复检+,387,387,213,2,72,72,红达104低产,10/15/2014,-1,-1,-1,05/15/2020,10/15/2019,01/01/1970,05/15/2020,01/01/1970,029HO18790,0,5
119,6053,73,5,产后未配,81,81,-1,0,73,73,红达103高产,09/15/2014,-1,-1,-1,01/01/1970,08/16/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
120,6059,71,4,复检+,145,145,48,1,71,71,红达105高产,11/26/2014,-1,-1,-1,07/31/2020,06/13/2020,01/01/1970,07/31/2020,01/01/1970,029HO18790,0,5
121,6060,71,4,复检+,244,244,143,4,71,71,红达104低产,11/26/2014,-1,-1,-1,07/28/2020,03/06/2020,01/01/1970,07/28/2020,01/01/1970,029HO18790,0,5
122,6069,72,5,已配未检,94,94,-1,1,72,72,红达105高产,10/26/2014,-1,-1,-1,01/01/1970,08/03/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
123,6079,73,4,产后未配,34,34,-1,0,73,73,红达102新产,09/26/2014,-1,-1,-1,01/01/1970,10/02/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
124,6080,79,5,初检+,209,209,142,4,79,79,红达105高产,03/26/2014,-1,-1,-1,08/31/2020,04/10/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0,5
125,6084,73,4,复检-,238,238,-1,3,73,73,红达105高产,09/26/2014,-1,-1,-1,01/01/1970,03/12/2020,01/01/1970,06/13/2020,01/01/1970,029HO18790,0,3
126,6091,67,4,初检-,120,120,-1,2,67,67,红达103高产,04/01/2015,-1,-1,-1,01/01/1970,07/08/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0,3
127,6094,65,4,初检+,111,111,59,1,65,65,红达103高产,05/20/2015,-1,-1,-1,09/15/2020,07/17/2020,01/01/1970,09/15/2020,01/01/1970,029HO18790,0,5
128,6103,65,4,已配未检,109,109,-1,2,65,65,红达103高产,06/01/2015,-1,-1,-1,01/01/1970,07/19/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
129,6108,65,4,已配未检,107,107,-1,1,65,65,红达105高产,06/01/2015,-1,-1,-1,01/01/1970,07/21/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0,4
130,6114,66,4,已配未检,85,85,-1,1,66,66,红达103高产,05/01/2015,-1,-1,-1,01/01/1970,08/12/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0,4
131,6116,69,4,复检+,229,229,52,1,69,69,红达301病房,01/11/2015,-1,-1,-1,05/12/2020,03/21/2020,01/01/1970,05/12/2020,01/01/1970,029HO18790,0,5
132,6315,77,3,复检+,441,503,221,5,77,77,红达2号干奶围产,05/13/2014,-1,-1,-1,01/28/2020,06/21/2019,09/03/2020,01/28/2020,01/01/1970,15180513,0,5
133,6320,79,5,产后未配,58,58,-1,0,79,79,红达103高产,03/13/2014,-1,-1,-1,01/01/1970,09/08/2020,01/01/1970,01/01/1970,01/01/1970,-1,0,2
134,6347,77,4,复检+,328,376,229,5,77,77,红达201干奶牛,06/01/2014,-1,-1,-1,06/12/2020,10/26/2019,09/17/2020,06/12/2020,01/01/1970,029HO18790,0,5
135,6356,68,4,初检-,135,135,-1,2,68,68,红达103高产,02/22/2015,-1,-1,-1,01/01/1970,06/23/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0,3
136,6372,74,4,复检+,315,335,189,3,74,74,红达201干奶牛,08/22/2014,-1,-1,-1,06/12/2020,12/06/2019,10/15/2020,06/12/2020,05/07/2020,029HO18790,0,5
137,6388,73,4,已配未检,163,163,-1,3,73,73,红达103高产,09/22/2014,-1,-1,-1,01/01/1970,05/26/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0,4
138,6398,71,5,已配未检,58,58,-1,1,71,71,红达103高产,11/22/2014,-1,-1,-1,01/01/1970,09/08/2020,01/01/1970,11/02/2020,01/01/1970,31106121,0,4
139,6410,71,4,复检+,289,289,117,3,71,71,红达104低产,11/22/2014,-1,-1,-1,05/17/2020,01/21/2020,01/01/1970,05/17/2020,01/01/1970,029HO18790,0,5
140,6418,72,4,初检+,241,241,192,4,72,72,红达103高产,10/22/2014,-1,-1,-1,09/17/2020,03/09/2020,01/01/1970,09/17/2020,01/01/1970,029HO18790,0,5
141,6419,73,4,初检-,273,273,-1,5,73,73,红达103高产,09/22/2014,-1,-1,-1,01/01/1970,02/06/2020,01/01/1970,09/21/2020,01/01/1970,029HO18790,0,3
142,6422,72,3,发情未配,659,659,-1,2,72,72,红达104低产,10/22/2014,-1,-1,-1,01/01/1970,01/16/2019,01/01/1970,06/15/2019,01/01/1970,15180513,0,0
143,6423,73,4,复检+,283,283,198,3,73,73,红达104低产,09/22/2014,-1,-1,-1,08/12/2020,01/27/2020,01/01/1970,08/12/2020,01/01/1970,029HO18790,0,5
144,6433,74,4,复检+,220,220,107,2,74,74,红达103高产,08/21/2014,-1,-1,-1,07/15/2020,03/30/2020,01/01/1970,07/15/2020,01/01/1970,029HO18790,0,5
145,6437,73,4,已配未检,213,213,-1,4,73,73,红达105高产,09/21/2014,-1,-1,-1,01/01/1970,04/06/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
146,6471,70,4,已配未检,346,346,-1,4,70,70,红达105高产,12/18/2014,-1,-1,-1,01/01/1970,11/25/2019,01/01/1970,10/13/2020,01/01/1970,11116697,0,4
147,6474,70,4,复检+,240,240,66,1,70,70,红达103高产,12/20/2014,-1,-1,-1,05/16/2020,03/10/2020,01/01/1970,05/16/2020,01/01/1970,029HO18790,0,5
148,6498,72,3,复检+,257,257,120,3,72,72,红达103高产,10/15/2014,-1,-1,-1,06/22/2020,02/22/2020,01/01/1970,06/22/2020,01/01/1970,029HO18790,0,5
