,牛号,月龄,胎次,繁殖状态,泌乳天数,产后天数,空怀天数,配种次数,奶量1,奶量2,牛舍名称,出生日期,父亲牛号,外祖父号,繁殖代码,怀孕日期,产犊日期,干奶日期,配种日期,流产日期,与配公牛,配种组
10,1524.0,82.30263157894741,5,初检-,149.0,149.0,-1.0,1.0,82.30263157894741,82.30263157894741,红达103高产,12/30/2013,-1,-1,-1,01/01/1970,06/09/2020,01/01/1970,07/23/2020,01/01/1970,029HO18790,0
11,1556.0,65.0,3,复检+,358.0,408.0,136.0,4.0,65.0,65.0,红达2号干奶围产,06/09/2015,-1,-1,-1,02/08/2020,09/24/2019,09/15/2020,02/08/2020,01/12/2020,15180513,0
12,1560.0,89.3421052631579,5,产后未配,61.0,61.0,-1.0,0.0,89.3421052631579,89.3421052631579,红达103高产,05/30/2013,-1,-1,-1,01/01/1970,09/05/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
13,1570.0,85.8881578947369,5,已配未检,94.0,94.0,-1.0,1.0,85.8881578947369,85.8881578947369,红达105高产,09/12/2013,-1,-1,-1,01/01/1970,08/03/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0
14,1576.0,65.625,3,已配未检,82.0,82.0,-1.0,1.0,65.625,65.625,红达103高产,05/21/2015,-1,-1,-1,01/01/1970,08/15/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0
15,1604.0,88.35526315789471,6,初检-,161.0,161.0,-1.0,2.0,88.35526315789471,88.35526315789471,红达103高产,06/29/2013,-1,-1,-1,01/01/1970,05/28/2020,01/01/1970,09/16/2020,01/01/1970,029HO18790,0
16,1622.0,66.1513157894737,4,复检+,250.0,250.0,56.0,1.0,66.1513157894737,66.1513157894737,红达105高产,05/05/2015,-1,-1,-1,04/25/2020,02/29/2020,01/01/1970,04/25/2020,01/01/1970,029HO18790,0
17,1623.0,86.875,5,复检+,351.0,351.0,180.0,3.0,86.875,86.875,红达104低产,08/13/2013,-1,-1,-1,05/19/2020,11/20/2019,01/01/1970,05/19/2020,01/01/1970,029HO18790,0
18,1625.0,84.9671052631579,5,初检+,270.0,270.0,203.0,3.0,84.9671052631579,84.9671052631579,红达105高产,10/10/2013,-1,-1,-1,08/30/2020,02/09/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0
19,1648.0,86.01973684210529,5,已配未检,273.0,273.0,-1.0,1.0,86.01973684210529,86.01973684210529,红达105高产,09/08/2013,-1,-1,-1,01/01/1970,02/06/2020,01/01/1970,10/10/2020,01/01/1970,11116697,0
20,1707.0,85.5592105263158,6,初检+,118.0,118.0,67.0,1.0,85.5592105263158,85.5592105263158,红达105高产,09/22/2013,-1,-1,-1,09/15/2020,07/10/2020,01/01/1970,09/15/2020,01/01/1970,029HO18790,0
21,1751.0,73.0263157894737,4,初检+,232.0,232.0,164.0,2.0,73.0263157894737,73.0263157894737,红达105高产,10/08/2014,-1,-1,-1,08/30/2020,03/18/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0
22,1757.0,79.6710526315789,4,复检+,252.0,252.0,59.0,1.0,79.6710526315789,79.6710526315789,红达103高产,03/20/2014,-1,-1,-1,04/26/2020,02/27/2020,01/01/1970,04/26/2020,01/01/1970,029HO18790,0
23,1777.0,79.9013157894737,5,已配未检,102.0,102.0,-1.0,2.0,79.9013157894737,79.9013157894737,红达102新产,03/13/2014,-1,-1,-1,01/01/1970,07/26/2020,01/01/1970,10/02/2020,01/01/1970,11116697,0
24,1792.0,81.9078947368421,5,复检+,232.0,232.0,98.0,3.0,81.9078947368421,81.9078947368421,红达103高产,01/11/2014,-1,-1,-1,06/25/2020,03/18/2020,01/01/1970,06/25/2020,01/01/1970,029HO18790,0
25,1808.0,70.625,3,复检+,455.0,455.0,272.0,6.0,70.625,70.625,红达103高产,12/20/2014,-1,-1,-1,05/06/2020,08/08/2019,01/01/1970,05/06/2020,01/01/1970,029HO18790,0
26,1820.0,81.5460526315789,5,产后未配,19.0,19.0,-1.0,0.0,81.5460526315789,81.5460526315789,红达102新产,01/22/2014,-1,-1,-1,01/01/1970,10/17/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
27,1843.0,81.5460526315789,5,复检+,223.0,223.0,106.0,3.0,81.5460526315789,81.5460526315789,红达105高产,01/22/2014,-1,-1,-1,07/11/2020,03/27/2020,01/01/1970,07/11/2020,01/01/1970,029HO18790,0
28,1862.0,80.1315789473684,6,已配未检,62.0,62.0,-1.0,1.0,80.1315789473684,80.1315789473684,红达105高产,03/06/2014,-1,-1,-1,01/01/1970,09/04/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0
29,1875.0,78.4210526315789,4,流产未配,294.0,294.0,-1.0,2.0,78.4210526315789,78.4210526315789,红达103高产,04/27/2014,-1,-1,-1,01/01/1970,01/16/2020,01/01/1970,04/26/2020,09/04/2020,029HO18790,0
30,1894.0,71.48026315789471,4,已配未检,60.0,60.0,-1.0,1.0,71.48026315789471,71.48026315789471,红达105高产,11/24/2014,-1,-1,-1,01/01/1970,09/06/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0
31,1906.0,72.5,4,已配未检,99.0,99.0,-1.0,1.0,72.5,72.5,红达103高产,10/24/2014,-1,-1,-1,01/01/1970,07/29/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0
32,1915.0,70.4934210526316,4,初检+,116.0,116.0,45.0,1.0,70.4934210526316,70.4934210526316,红达105高产,12/24/2014,-1,-1,-1,08/26/2020,07/12/2020,01/01/1970,08/26/2020,01/01/1970,029HO18790,0
33,1927.0,81.44736842105259,5,复检+,386.0,386.0,218.0,4.0,81.44736842105259,81.44736842105259,红达103高产,01/25/2014,-1,-1,-1,05/21/2020,10/16/2019,01/01/1970,05/21/2020,01/01/1970,029HO18790,0
34,1944.0,70.23026315789471,3,复检+,281.0,346.0,60.0,1.0,70.23026315789471,70.23026315789471,红达2号干奶围产,01/01/2015,-1,-1,-1,01/25/2020,11/25/2019,08/31/2020,01/25/2020,01/01/1970,15180513,0
35,1977.0,73.0921052631579,5,已配未检,78.0,78.0,-1.0,1.0,73.0921052631579,73.0921052631579,红达105高产,10/06/2014,-1,-1,-1,01/01/1970,08/19/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0
36,1979.0,71.9736842105263,4,复检+,316.0,366.0,94.0,3.0,71.9736842105263,71.9736842105263,红达2号干奶围产,11/09/2014,-1,-1,-1,02/07/2020,11/05/2019,09/15/2020,02/07/2020,01/01/1970,15180513,0
37,1997.0,68.0263157894737,4,产后未配,53.0,53.0,-1.0,0.0,68.0263157894737,68.0263157894737,红达103高产,03/09/2015,-1,-1,-1,01/01/1970,09/13/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
38,1998.0,66.01973684210529,4,已配未检,84.0,84.0,-1.0,1.0,66.01973684210529,66.01973684210529,红达103高产,05/09/2015,-1,-1,-1,01/01/1970,08/13/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0
39,2008.0,66.2171052631579,4,复检+,244.0,244.0,105.0,3.0,66.2171052631579,66.2171052631579,红达103高产,05/03/2015,1028,-1,-1,06/20/2020,03/06/2020,01/01/1970,06/20/2020,01/01/1970,029HO18790,0
40,2015.0,67.9934210526316,3,复检+,496.0,551.0,274.0,5.0,67.9934210526316,67.9934210526316,红达2号干奶围产,03/10/2015,1078,-1,-1,02/02/2020,05/04/2019,09/10/2020,02/02/2020,01/01/1970,15180513,0
41,2019.0,65.5921052631579,3,已配未检,344.0,344.0,-1.0,5.0,65.5921052631579,65.5921052631579,红达105高产,05/22/2015,1083,-1,-1,01/01/1970,11/27/2019,01/01/1970,10/17/2020,01/01/1970,11116697,0
42,2023.0,67.8289473684211,3,复检+,415.0,465.0,198.0,2.0,67.8289473684211,67.8289473684211,红达2号干奶围产,03/15/2015,1087,-1,-1,02/12/2020,07/29/2019,09/15/2020,02/12/2020,01/01/1970,15180513,0
43,2026.0,66.1513157894737,4,已配未检,65.0,65.0,-1.0,1.0,66.1513157894737,66.1513157894737,红达105高产,05/05/2015,1098,-1,-1,01/01/1970,09/01/2020,01/01/1970,10/19/2020,01/01/1970,31106121,0
44,2037.0,63.355263157894704,4,复检+,203.0,203.0,57.0,1.0,63.355263157894704,63.355263157894704,红达103高产,07/29/2015,1118,-1,-1,06/12/2020,04/16/2020,01/01/1970,06/12/2020,01/01/1970,029HO18790,0
45,2042.0,68.9144736842105,3,初检-,282.0,282.0,-1.0,4.0,68.9144736842105,68.9144736842105,红达105高产,02/10/2015,1142,-1,-1,01/01/1970,01/28/2020,01/01/1970,09/23/2020,07/30/2020,029HO18790,0
46,2051.0,68.4539473684211,4,产后未配,23.0,23.0,-1.0,0.0,68.4539473684211,68.4539473684211,红达102新产,02/24/2015,1173,-1,-1,01/01/1970,10/13/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
47,2055.0,68.48684210526321,4,初检-,102.0,102.0,-1.0,1.0,68.48684210526321,68.48684210526321,红达102新产,02/23/2015,1184,-1,-1,01/01/1970,07/26/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0
48,2057.0,65.2631578947369,4,初检+,180.0,180.0,131.0,3.0,65.2631578947369,65.2631578947369,红达103高产,06/01/2015,1187,-1,-1,09/17/2020,05/09/2020,01/01/1970,09/17/2020,01/01/1970,029HO18790,0
49,2061.0,70.1973684210526,4,已配未检,223.0,223.0,-1.0,3.0,70.1973684210526,70.1973684210526,红达105高产,01/02/2015,1195,-1,-1,01/01/1970,03/27/2020,01/01/1970,10/05/2020,01/01/1970,11116697,0
50,2067.0,63.2565789473684,3,复检+,491.0,546.0,269.0,8.0,63.2565789473684,63.2565789473684,红达2号干奶围产,08/01/2015,1210,-1,-1,02/02/2020,05/09/2019,09/10/2020,02/02/2020,01/01/1970,15180513,0
51,2070.0,68.9144736842105,3,已配未检,263.0,263.0,-1.0,4.0,68.9144736842105,68.9144736842105,红达103高产,02/10/2015,1213,-1,-1,01/01/1970,02/16/2020,01/01/1970,10/11/2020,01/01/1970,11116697,0
52,2076.0,66.9736842105263,4,已配未检,120.0,120.0,-1.0,2.0,66.9736842105263,66.9736842105263,红达105高产,04/10/2015,1223,-1,-1,01/01/1970,07/08/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
53,2082.0,66.2828947368421,4,产后未配,3.0,3.0,-1.0,0.0,66.2828947368421,66.2828947368421,红达301产房,05/01/2015,1238,-1,-1,01/01/1970,11/02/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
54,2110.0,69.2105263157895,4,已配未检,393.0,393.0,-1.0,7.0,69.2105263157895,69.2105263157895,红达105高产,02/01/2015,1336,-1,-1,01/01/1970,10/09/2019,01/01/1970,10/12/2020,04/10/2020,11116697,0
55,2112.0,67.23684210526321,3,已配未检,329.0,329.0,-1.0,7.0,67.23684210526321,67.23684210526321,红达103高产,04/02/2015,1339,-1,-1,01/01/1970,12/12/2019,01/01/1970,10/13/2020,01/01/1970,11116697,0
56,2119.0,55.4934210526316,3,初检-,112.0,112.0,-1.0,1.0,55.4934210526316,55.4934210526316,红达103高产,03/24/2016,-1,-1,-1,01/01/1970,07/16/2020,01/01/1970,09/15/2020,01/01/1970,029HO18790,0
57,2138.0,69.60526315789471,4,初检+,179.0,179.0,125.0,3.0,69.60526315789471,69.60526315789471,红达103高产,01/20/2015,-1,-1,-1,09/12/2020,05/10/2020,01/01/1970,09/12/2020,01/01/1970,029HO18790,0
58,2140.0,69.60526315789471,4,复检+,272.0,326.0,49.0,1.0,69.60526315789471,69.60526315789471,红达2号干奶围产,01/20/2015,-1,-1,-1,02/02/2020,12/15/2019,09/11/2020,02/02/2020,01/01/1970,15180513,0
59,2146.0,70.0986842105263,4,产后未配,5.0,5.0,-1.0,0.0,70.0986842105263,70.0986842105263,红达301产房,01/05/2015,-1,-1,-1,01/01/1970,10/31/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
60,2152.0,68.98026315789471,4,初检+,159.0,159.0,119.0,3.0,68.98026315789471,68.98026315789471,红达103高产,02/08/2015,-1,-1,-1,09/27/2020,05/30/2020,01/01/1970,09/27/2020,01/01/1970,029HO18790,0
61,2156.0,68.98026315789471,4,产后未配,49.0,49.0,-1.0,0.0,68.98026315789471,68.98026315789471,红达103高产,02/08/2015,-1,-1,-1,01/01/1970,09/17/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
62,2158.0,69.4736842105263,4,初检+,214.0,214.0,147.0,3.0,69.4736842105263,69.4736842105263,红达103高产,01/24/2015,-1,-1,-1,08/30/2020,04/05/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0
63,2161.0,58.3223684210526,2,复检+,525.0,587.0,304.0,8.0,58.3223684210526,58.3223684210526,红达2号干奶围产,12/29/2015,-1,-1,-1,01/28/2020,03/29/2019,09/03/2020,01/28/2020,01/01/1970,15180513,0
64,2162.0,59.309210526315795,4,产后未配,6.0,6.0,-1.0,0.0,59.309210526315795,59.309210526315795,红达301产房,11/29/2015,-1,-1,-1,01/01/1970,10/30/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
65,2166.0,56.184210526315795,3,初检+,191.0,191.0,134.0,4.0,56.184210526315795,56.184210526315795,红达102新产,03/03/2016,-1,-1,-1,09/10/2020,04/28/2020,01/01/1970,09/10/2020,01/01/1970,029HO18790,0
66,2169.0,54.342105263157904,3,已配未检,59.0,59.0,-1.0,1.0,54.342105263157904,54.342105263157904,红达105高产,04/28/2016,-1,-1,-1,01/01/1970,09/07/2020,01/01/1970,10/22/2020,01/01/1970,31106121,0
67,2181.0,52.434210526315795,3,复检+,227.0,227.0,66.0,1.0,52.434210526315795,52.434210526315795,红达103高产,06/25/2016,-1,-1,-1,05/28/2020,03/23/2020,01/01/1970,05/28/2020,01/01/1970,029HO18790,0
68,2186.0,59.5394736842105,3,复检+,297.0,297.0,139.0,3.0,59.5394736842105,59.5394736842105,红达104低产,11/22/2015,-1,-1,-1,05/31/2020,01/13/2020,01/01/1970,05/31/2020,01/01/1970,029HO18790,0
69,2189.0,56.282894736842096,1,复检+,877.0,877.0,696.0,9.0,56.282894736842096,56.282894736842096,红达104低产,02/29/2016,-1,-1,-1,05/08/2020,06/12/2018,01/01/1970,05/08/2020,04/01/2020,029HO18790,0
70,2190.0,54.2105263157895,3,已配未检,68.0,68.0,-1.0,1.0,54.2105263157895,54.2105263157895,红达103高产,05/02/2016,-1,-1,-1,01/01/1970,08/29/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0
71,2192.0,58.684210526315795,3,已配未检,243.0,243.0,-1.0,5.0,58.684210526315795,58.684210526315795,红达103高产,12/18/2015,-1,-1,-1,01/01/1970,03/07/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
72,2197.0,60.394736842105296,4,已配未检,73.0,73.0,-1.0,1.0,60.394736842105296,60.394736842105296,红达103高产,10/27/2015,-1,-1,-1,01/01/1970,08/24/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0
73,2204.0,56.940789473684205,3,复检+,312.0,374.0,91.0,2.0,56.940789473684205,56.940789473684205,红达2号干奶围产,02/09/2016,-1,-1,-1,01/28/2020,10/28/2019,09/03/2020,01/28/2020,01/01/1970,15180513,0
74,2206.0,59.967105263157904,3,复检+,271.0,271.0,155.0,3.0,59.967105263157904,59.967105263157904,红达104低产,11/09/2015,-1,-1,-1,07/12/2020,02/08/2020,01/01/1970,07/12/2020,01/01/1970,029HO18790,0
75,2214.0,51.940789473684205,3,已配未检,128.0,128.0,-1.0,2.0,51.940789473684205,51.940789473684205,红达103高产,07/10/2016,-1,-1,-1,01/01/1970,06/30/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
76,2217.0,51.940789473684205,3,复检+,208.0,208.0,62.0,1.0,51.940789473684205,51.940789473684205,红达104低产,07/10/2016,-1,-1,-1,06/12/2020,04/11/2020,01/01/1970,06/12/2020,01/01/1970,029HO18790,0
77,2221.0,52.434210526315795,3,产后未配,46.0,46.0,-1.0,0.0,52.434210526315795,52.434210526315795,红达103高产,06/25/2016,-1,-1,-1,01/01/1970,09/20/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
78,2223.0,52.598684210526294,3,已配未检,76.0,76.0,-1.0,1.0,52.598684210526294,52.598684210526294,红达105高产,06/20/2016,-1,-1,-1,01/01/1970,08/21/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0
79,2227.0,50.559210526315795,2,复检+,493.0,493.0,311.0,5.0,50.559210526315795,50.559210526315795,红达104低产,08/21/2016,-1,-1,-1,05/07/2020,07/01/2019,01/01/1970,05/07/2020,01/01/1970,029HO18790,0
80,2229.0,53.092105263157904,3,已配未检,93.0,93.0,-1.0,1.0,53.092105263157904,53.092105263157904,红达103高产,06/05/2016,-1,-1,-1,01/01/1970,08/04/2020,01/01/1970,09/30/2020,01/01/1970,11116697,0
81,2230.0,50.526315789473706,2,产后未配,7.0,7.0,-1.0,0.0,50.526315789473706,50.526315789473706,红达301产房,08/22/2016,-1,-1,-1,01/01/1970,10/29/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
82,2231.0,51.480263157894704,3,已配未检,80.0,80.0,-1.0,1.0,51.480263157894704,51.480263157894704,红达103高产,07/24/2016,-1,-1,-1,01/01/1970,08/17/2020,01/01/1970,10/18/2020,01/01/1970,291HO17029,0
83,2233.0,50.9539473684211,2,复检+,291.0,339.0,72.0,2.0,50.9539473684211,50.9539473684211,红达2号干奶围产,08/09/2016,-1,-1,-1,02/12/2020,12/02/2019,09/17/2020,02/12/2020,01/01/1970,15180513,0
84,2236.0,51.7105263157895,2,复检+,396.0,411.0,228.0,3.0,51.7105263157895,51.7105263157895,红达201干奶牛,07/17/2016,-1,-1,-1,05/06/2020,09/21/2019,10/20/2020,05/06/2020,01/01/1970,11109875,0
85,2238.0,51.315789473684205,3,已配未检,170.0,170.0,-1.0,2.0,51.315789473684205,51.315789473684205,红达105高产,07/29/2016,-1,-1,-1,01/01/1970,05/19/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
86,2240.0,51.151315789473706,3,已配未检,212.0,212.0,-1.0,5.0,51.151315789473706,51.151315789473706,红达103高产,08/03/2016,-1,-1,-1,01/01/1970,04/07/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0
87,3006.0,67.5328947368421,4,初检-,245.0,245.0,-1.0,4.0,67.5328947368421,67.5328947368421,红达103高产,03/24/2015,-1,-1,-1,01/01/1970,03/05/2020,01/01/1970,07/23/2020,01/01/1970,029HO18790,0
88,3014.0,103.32236842105301,5,已配未检,244.0,244.0,-1.0,3.0,103.32236842105301,103.32236842105301,红达103高产,03/31/2012,-1,-1,-1,01/01/1970,03/06/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
89,3016.0,60.4605263157895,4,已配未检,57.0,57.0,-1.0,1.0,60.4605263157895,60.4605263157895,红达103高产,10/25/2015,-1,-1,-1,01/01/1970,09/09/2020,01/01/1970,10/25/2020,01/01/1970,31106121,0
90,3021.0,107.960526315789,6,初检+,243.0,243.0,175.0,3.0,107.960526315789,107.960526315789,红达103高产,11/11/2011,-1,-1,-1,08/30/2020,03/07/2020,01/01/1970,08/30/2020,01/01/1970,029HO18790,0
91,3033.0,68.8157894736842,3,已配未检,342.0,342.0,-1.0,5.0,68.8157894736842,68.8157894736842,红达103高产,02/13/2015,-1,-1,-1,01/01/1970,11/29/2019,01/01/1970,10/08/2020,01/01/1970,11116697,0
92,3034.0,63.6184210526316,4,已配未检,129.0,129.0,-1.0,3.0,63.6184210526316,63.6184210526316,红达103高产,07/21/2015,-1,-1,-1,01/01/1970,06/29/2020,01/01/1970,10/02/2020,01/01/1970,11116697,0
93,3037.0,110.98684210526301,6,已配未检,87.0,87.0,-1.0,2.0,110.98684210526301,110.98684210526301,红达105高产,08/11/2011,-1,-1,-1,01/01/1970,08/10/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0
94,3038.0,62.23684210526321,4,已配未检,54.0,54.0,-1.0,1.0,62.23684210526321,62.23684210526321,红达103高产,09/01/2015,-1,-1,-1,01/01/1970,09/12/2020,01/01/1970,11/02/2020,01/01/1970,31106121,0
95,3043.0,98.28947368421049,5,初检+,104.0,104.0,62.0,1.0,98.28947368421049,98.28947368421049,红达103高产,08/31/2012,-1,-1,-1,09/25/2020,07/24/2020,01/01/1970,09/25/2020,01/01/1970,029HO18790,0
96,3049.0,67.5328947368421,3,已配未检,72.0,72.0,-1.0,1.0,67.5328947368421,67.5328947368421,红达105高产,03/24/2015,-1,-1,-1,01/01/1970,08/25/2020,01/01/1970,10/27/2020,01/01/1970,31106121,0
97,3051.0,65.85526315789471,4,复检+,163.0,163.0,46.0,1.0,65.85526315789471,65.85526315789471,红达103高产,05/14/2015,-1,-1,-1,07/11/2020,05/26/2020,01/01/1970,07/11/2020,01/01/1970,029HO18790,0
98,3061.0,65.2960526315789,3,复检+,357.0,357.0,174.0,3.0,65.2960526315789,65.2960526315789,红达103高产,05/31/2015,-1,-1,-1,05/06/2020,11/14/2019,01/01/1970,05/06/2020,01/01/1970,029HO18790,0
99,3065.0,60.855263157894704,3,复检+,244.0,244.0,48.0,1.0,60.855263157894704,60.855263157894704,红达103高产,10/13/2015,-1,-1,-1,04/24/2020,03/06/2020,01/01/1970,04/24/2020,01/01/1970,029HO18790,0
100,3072.0,68.2236842105263,4,已配未检,108.0,108.0,-1.0,1.0,68.2236842105263,68.2236842105263,红达105高产,03/03/2015,-1,-1,-1,01/01/1970,07/20/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0
101,3073.0,112.664473684211,7,产后未配,62.0,62.0,-1.0,0.0,112.664473684211,112.664473684211,红达105高产,06/21/2011,-1,-1,-1,01/01/1970,09/04/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
102,3078.0,106.743421052632,5,已配未检,79.0,79.0,-1.0,2.0,106.743421052632,106.743421052632,红达103高产,12/18/2011,-1,-1,-1,01/01/1970,08/18/2020,01/01/1970,11/02/2020,01/01/1970,31106121,0
103,3087.0,96.9736842105263,4,复检+,247.0,247.0,88.0,2.0,96.9736842105263,96.9736842105263,红达105高产,10/10/2012,-1,-1,-1,05/30/2020,03/03/2020,01/01/1970,05/30/2020,01/01/1970,029HO18790,0
104,3098.0,157.63157894736798,10,已配未检,294.0,294.0,-1.0,6.0,157.63157894736798,157.63157894736798,红达103高产,09/23/2007,-1,-1,-1,01/01/1970,01/16/2020,01/01/1970,10/13/2020,01/01/1970,11116697,0
105,3111.0,105.493421052632,7,初检+,194.0,194.0,128.0,4.0,105.493421052632,105.493421052632,红达105高产,01/25/2012,-1,-1,-1,08/31/2020,04/25/2020,01/01/1970,08/31/2020,01/01/1970,029HO18790,0
106,3115.0,107.796052631579,5,复检+,272.0,272.0,103.0,1.0,107.796052631579,107.796052631579,红达104低产,11/16/2011,-1,-1,-1,05/20/2020,02/07/2020,01/01/1970,05/20/2020,01/01/1970,029HO18790,0
107,3127.0,150.822368421053,7,复检+,183.0,183.0,64.0,2.0,150.822368421053,150.822368421053,红达104低产,04/17/2008,-1,-1,-1,07/10/2020,05/06/2020,01/01/1970,07/10/2020,01/01/1970,029HO18790,0
108,3139.0,106.25,6,复检+,327.0,327.0,214.0,3.0,106.25,106.25,红达103高产,01/02/2012,-1,-1,-1,07/15/2020,12/14/2019,01/01/1970,07/15/2020,01/01/1970,029HO18790,0
109,3140.0,99.44078947368419,7,产后未配,26.0,26.0,-1.0,0.0,99.44078947368419,99.44078947368419,红达102新产,07/27/2012,-1,-1,-1,01/01/1970,10/10/2020,01/01/1970,01/01/1970,01/01/1970,-1,0
110,3142.0,67.7960526315789,3,复检+,239.0,239.0,49.0,1.0,67.7960526315789,67.7960526315789,红达102新产,03/16/2015,-1,-1,-1,04/30/2020,03/11/2020,01/01/1970,04/30/2020,01/01/1970,029HO18790,0
111,3146.0,48.190789473684205,2,复检+,284.0,284.0,101.0,2.0,48.190789473684205,48.190789473684205,红达105高产,11/01/2016,-1,-1,-1,05/06/2020,01/26/2020,01/01/1970,05/06/2020,01/01/1970,029HO18790,0
112,3151.0,45.4934210526316,2,已配未检,274.0,274.0,-1.0,2.0,45.4934210526316,45.4934210526316,红达103高产,01/22/2017,-1,-1,-1,01/01/1970,02/05/2020,01/01/1970,10/17/2020,01/01/1970,11116697,0
113,3152.0,45.230263157894704,2,复检+,262.0,277.0,44.0,1.0,45.230263157894704,45.230263157894704,红达201干奶牛,01/30/2017,-1,-1,-1,03/17/2020,02/02/2020,10/20/2020,03/17/2020,01/01/1970,11116697,0
114,3158.0,44.5394736842105,2,已配未检,242.0,242.0,-1.0,6.0,44.5394736842105,44.5394736842105,红达103高产,02/20/2017,-1,-1,-1,01/01/1970,03/08/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0
115,6027.0,72.7960526315789,4,初检-,171.0,171.0,-1.0,1.0,72.7960526315789,72.7960526315789,红达105高产,10/15/2014,-1,-1,-1,01/01/1970,05/18/2020,01/01/1970,07/01/2020,01/01/1970,029HO18790,0
116,6035.0,72.7960526315789,4,已配未检,249.0,249.0,-1.0,5.0,72.7960526315789,72.7960526315789,红达103高产,10/15/2014,-1,-1,-1,01/01/1970,03/01/2020,01/01/1970,10/31/2020,01/01/1970,31106121,0
